team,recent_form,goals_for_last_10,goals_against_last_10,matches_played,elo_rating,fifa_rank,host_advantage
Kosovo,1.7,14,11,33,,,0.0
Sint Maarten,1.7,13,22,20,,,0.0
Ecuador,1.7,12,6,40,1890.0,30.0,0.0
Iraq,1.7,11,10,48,1607.0,60.0,0.0
Uruguay,1.7,11,8,40,1870.0,19.0,0.0
Cameroon,1.7,10,7,37,,,0.0
Czech Republic,1.6,21,11,38,,,0.0
Panama,1.6,18,16,55,1730.0,40.0,0.0
Indonesia,1.6,17,11,46,,,0.0
Madagascar,1.6,17,19,31,,,0.0
Turkmenistan,1.6,16,14,19,,,0.0
Guadeloupe,1.6,15,11,24,,,0.0
Ukraine,1.6,15,16,37,,,0.0
Australia,1.6,14,10,39,1839.0,25.0,0.0
Chile,1.6,14,16,36,,,0.0
Egypt,1.6,13,7,48,1711.0,26.0,0.0
Tahiti,1.6,12,14,17,,,0.0
Hong Kong,1.5,19,11,41,,,0.0
Grenada,1.5,17,21,30,,,0.0
Saint Martin,1.5,17,17,18,,,0.0
Kenya,1.5,14,17,31,,,0.0
Uzbekistan,1.5,14,9,42,1714.0,54.0,0.0
Libya,1.5,11,9,29,,,0.0
Albania,1.5,9,9,36,,,0.0
Canada,1.5,9,5,44,1767.0,28.0,1.0
Gambia,1.4,22,16,28,,,0.0
Curaçao,1.4,20,21,35,,,0.0
British Virgin Islands,1.4,17,15,23,,,0.0
Myanmar,1.4,16,24,30,,,0.0
Romania,1.4,16,15,38,,,0.0
Vanuatu,1.4,16,22,25,,,0.0
Aruba,1.4,15,19,22,,,0.0
Haiti,1.4,15,11,35,1536.0,87.0,0.0
Angola,1.4,14,11,42,,,0.0
Cape Verde,1.4,14,12,41,1606.0,63.0,0.0
Uganda,1.4,14,15,32,,,0.0
Paraguay,1.4,13,13,34,1780.0,37.0,0.0
Mali,1.4,12,9,38,,,0.0
South Africa,1.4,12,12,50,1511.0,61.0,0.0
Sierra Leone,1.4,11,11,27,,,0.0
Jamaica,1.4,9,8,55,,,0.0
Saint Kitts and Nevis,1.3,21,27,34,,,0.0
Bosnia and Herzegovina,1.3,15,11,34,1616.0,64.0,0.0
Montenegro,1.3,13,20,34,,,0.0
Bangladesh,1.3,12,13,32,,,0.0
Ethiopia,1.3,12,14,26,,,0.0
Guinea,1.3,12,9,36,,,0.0
Togo,1.3,12,11,27,,,0.0
Northern Ireland,1.3,10,12,34,,,0.0
Sri Lanka,1.3,9,15,21,,,0.0
Cyprus,1.2,16,15,34,,,0.0
Wales,1.2,15,14,34,,,0.0
Belarus,1.2,13,21,34,,,0.0
Liberia,1.2,13,15,28,,,0.0
Samoa,1.2,12,30,14,,,0.0
Tunisia,1.2,12,17,47,1585.0,58.0,0.0
United Arab Emirates,1.2,12,14,43,,,0.0
Kazakhstan,1.2,11,14,35,,,0.0
Estonia,1.2,10,18,38,,,0.0
Malawi,1.2,9,9,32,,,0.0
Niger,1.2,9,13,30,,,0.0
Serbia,1.2,9,22,37,,,0.0
Gabon,1.1,18,19,31,,,0.0
Cambodia,1.1,17,15,24,,,0.0
French Guiana,1.1,17,15,16,,,0.0
Sweden,1.1,16,19,38,1755.0,36.0,0.0
Georgia,1.1,14,18,37,,,0.0
Ghana,1.1,11,14,36,1510.0,65.0,0.0
Malta,1.1,11,23,31,,,0.0
Puerto Rico,1.1,11,19,29,,,0.0
Saudi Arabia,1.1,11,13,58,1598.0,59.0,0.0
Zimbabwe,1.1,11,13,26,,,0.0
Cuba,1.1,10,19,32,,,0.0
China,1.1,8,12,33,,,0.0
Honduras,1.1,8,8,43,,,0.0
Pakistan,1.1,8,15,23,,,0.0
Bulgaria,1.0,16,24,34,,,0.0
Belize,1.0,15,27,26,,,0.0
Kuwait,1.0,15,22,45,,,0.0
United States Virgin Islands,1.0,15,20,16,,,0.0
Bermuda,1.0,14,26,30,,,0.0
Suriname,1.0,13,14,29,,,0.0
Finland,1.0,11,17,36,,,0.0
Venezuela,1.0,11,17,36,,,0.0
Mozambique,1.0,10,15,39,,,0.0
Turks and Caicos Islands,1.0,9,18,14,,,0.0
Rwanda,1.0,8,12,25,,,0.0
Oman,1.0,7,11,49,,,0.0
Benin,1.0,6,20,34,,,0.0
Mauritania,1.0,6,11,37,,,0.0
Gibraltar,0.9,14,19,33,,,0.0
Greece,0.9,12,16,34,,,0.0
Saint Lucia,0.9,9,31,24,,,0.0
Lesotho,0.9,7,19,33,,,0.0
Nepal,0.9,7,11,28,,,0.0
Palestine,0.9,5,9,36,,,0.0
Azerbaijan,0.8,12,21,33,,,0.0
Costa Rica,0.8,11,19,47,,,0.0
Guatemala,0.8,10,24,50,,,0.0
North Macedonia,0.8,8,18,34,,,0.0
Slovenia,0.8,8,14,39,,,0.0
Central African Republic,0.8,7,21,25,,,0.0
Namibia,0.8,7,16,32,,,0.0
El Salvador,0.8,5,14,43,,,0.0
Guam,0.7,14,28,10,,,0.0
Dominican Republic,0.7,10,16,33,,,0.0
Kyrgyzstan,0.7,10,17,32,,,0.0
Trinidad and Tobago,0.7,10,23,48,,,0.0
Bahrain,0.7,9,17,46,,,0.0
Cayman Islands,0.7,9,24,21,,,0.0
Comoros,0.7,8,15,43,,,0.0
Bolivia,0.7,7,21,42,,,0.0
Dominica,0.7,7,18,21,,,0.0
Botswana,0.7,6,18,30,,,0.0
Burundi,0.7,6,14,24,,,0.0
Martinique,0.7,6,12,21,,,0.0
Qatar,0.7,6,14,51,1447.0,57.0,0.0
Sudan,0.7,5,17,33,,,0.0
Brunei,0.7,4,24,18,,,0.0
Solomon Islands,0.6,16,29,27,,,0.0
Taiwan,0.6,14,29,22,,,0.0
Barbados,0.6,12,23,26,,,0.0
Iceland,0.6,11,22,39,,,0.0
Anguilla,0.6,8,28,21,,,0.0
Armenia,0.6,8,25,33,,,0.0
Bonaire,0.6,8,22,19,,,0.0
Peru,0.6,8,17,36,,,0.0
Fiji,0.6,7,28,27,,,0.0
Lithuania,0.6,7,16,34,,,0.0
Mauritius,0.6,6,15,25,,,0.0
Montserrat,0.6,6,20,18,,,0.0
South Sudan,0.6,6,20,25,,,0.0
Andorra,0.6,5,16,35,,,0.0
Mongolia,0.6,5,24,13,,,0.0
Tanzania,0.5,12,14,37,,,0.0
Laos,0.5,11,29,17,,,0.0
New Zealand,0.5,9,19,34,1578.0,84.0,0.0
Eswatini,0.5,7,24,27,,,0.0
Congo,0.5,6,23,16,,,0.0
Guinea-Bissau,0.5,6,17,29,,,0.0
São Tomé and Príncipe,0.5,6,21,16,,,0.0
Equatorial Guinea,0.5,5,15,37,,,0.0
Latvia,0.5,5,14,32,,,0.0
Nicaragua,0.5,5,22,34,,,0.0
Zambia,0.5,5,23,35,,,0.0
Afghanistan,0.5,4,15,22,,,0.0
Somalia,0.5,4,17,16,,,0.0
Bahamas,0.4,12,39,19,,,0.0
North Korea,0.4,10,21,18,,,0.0
Maldives,0.4,6,20,19,,,0.0
Bhutan,0.4,3,24,19,,,0.0
Luxembourg,0.4,2,15,32,,,0.0
Moldova,0.3,9,32,33,,,0.0
Chad,0.3,8,21,23,,,0.0
Timor-Leste,0.3,6,35,16,,,0.0
India,0.3,4,14,33,,,0.0
Liechtenstein,0.3,3,33,34,,,0.0
Djibouti,0.2,5,27,16,,,0.0
Antigua and Barbuda,0.2,3,22,21,,,0.0
San Marino,0.1,5,37,34,,,0.0
Macau,0.1,3,28,12,,,0.0
Seychelles,0.0,2,53,17,,,0.0
